campaign_id,campaign_name,channel,region,campaign_type,target_audience,objective,start_date,end_date,total_budget,status
CMP-0001,Webinar/Event - Organic Social - LATAM - Q2/2023,Organic Social,LATAM,Webinar/Event,Marketing Managers,Clicks,2023-05-23,2023-07-04,5563.06,Completed
CMP-0002,Seasonal Promo - Organic Social - Europe - Q1/2023,Organic Social,Europe,Seasonal Promo,Enterprise Decision Makers,Demo Requests,2023-02-02,2023-04-11,369.01,Completed
CMP-0003,Seasonal Promo - Meta Ads - LATAM - Q1/2025,Meta Ads,LATAM,Seasonal Promo,Enterprise Decision Makers,Demo Requests,2025-01-03,2025-02-11,16422.17,Completed
CMP-0004,Product Launch - TikTok Ads - North America - Q1/2023,TikTok Ads,North America,Product Launch,Startup Founders,Conversions,2023-01-07,2023-05-04,19090.78,Completed
CMP-0005,Retargeting - Meta Ads - Europe - Q4/2023,Meta Ads,Europe,Retargeting,Marketing Managers,Clicks,2023-12-11,2024-01-21,3004.15,Completed
CMP-0006,Retargeting - Email Marketing - LATAM - Q1/2023,Email Marketing,LATAM,Retargeting,Startup Founders,Conversions,2023-02-14,2023-06-11,18378.43,Completed
CMP-0007,Product Launch - TikTok Ads - LATAM - Q4/2024,TikTok Ads,LATAM,Product Launch,Enterprise Decision Makers,Demo Requests,2024-10-05,2024-11-25,15653.73,Completed
CMP-0008,Lead Generation - Content/SEO - North America - Q4/2024,Content/SEO,North America,Lead Generation,General B2B,Impressions,2024-11-08,2024-11-27,1825.05,Completed
CMP-0009,Lead Generation - LinkedIn Ads - APAC - Q2/2024,LinkedIn Ads,APAC,Lead Generation,Enterprise Decision Makers,Sign-ups,2024-04-09,2024-05-28,28933.68,Completed
CMP-0010,Retargeting - LinkedIn Ads - LATAM - Q4/2024,LinkedIn Ads,LATAM,Retargeting,SMB Owners,Conversions,2024-11-30,2025-03-13,29478.36,Active
CMP-0011,Seasonal Promo - TikTok Ads - North America - Q2/2024,TikTok Ads,North America,Seasonal Promo,General B2B,Clicks,2024-04-18,2024-05-22,9796.66,Completed
CMP-0012,Lead Generation - Organic Social - Europe - Q1/2023,Organic Social,Europe,Lead Generation,General B2B,Conversions,2023-02-27,2023-06-19,1833.5,Completed
CMP-0013,Product Launch - Google Ads - Europe - Q3/2024,Google Ads,Europe,Product Launch,Marketing Managers,Impressions,2024-08-03,2024-09-13,21971.01,Completed
CMP-0014,Product Launch - LinkedIn Ads - LATAM - Q3/2023,LinkedIn Ads,LATAM,Product Launch,Developers,Sign-ups,2023-09-29,2023-10-31,7057.7,Completed
CMP-0015,Retargeting - Organic Social - North America - Q3/2024,Organic Social,North America,Retargeting,General B2B,Demo Requests,2024-08-20,2024-10-27,3085.59,Completed
CMP-0016,Lead Generation - Meta Ads - APAC - Q1/2025,Meta Ads,APAC,Lead Generation,Startup Founders,Sign-ups,2025-02-12,2025-03-09,1654.35,Active
CMP-0017,Lead Generation - Google Ads - LATAM - Q1/2023,Google Ads,LATAM,Lead Generation,General B2B,Sign-ups,2023-03-07,2023-06-05,9926.8,Completed
CMP-0018,Seasonal Promo - TikTok Ads - APAC - Q4/2024,TikTok Ads,APAC,Seasonal Promo,Marketing Managers,Demo Requests,2024-11-27,2024-12-12,18157.68,Completed
CMP-0019,Retargeting - Organic Social - Europe - Q4/2023,Organic Social,Europe,Retargeting,General B2B,Conversions,2023-10-28,2023-11-25,3345.52,Completed
CMP-0020,Webinar/Event - Email Marketing - LATAM - Q3/2023,Email Marketing,LATAM,Webinar/Event,General B2B,Conversions,2023-07-02,2023-09-18,12938.2,Completed
CMP-0021,Retargeting - Google Ads - Europe - Q3/2023,Google Ads,Europe,Retargeting,General B2B,Demo Requests,2023-07-23,2023-10-22,4244.56,Completed
CMP-0022,Seasonal Promo - Content/SEO - LATAM - Q2/2024,Content/SEO,LATAM,Seasonal Promo,Enterprise Decision Makers,Demo Requests,2024-05-15,2024-07-09,293.15,Completed
CMP-0023,Retargeting - LinkedIn Ads - Europe - Q3/2024,LinkedIn Ads,Europe,Retargeting,SMB Owners,Impressions,2024-08-03,2024-09-16,42660.47,Completed
CMP-0024,Brand Awareness - Google Ads - Europe - Q4/2024,Google Ads,Europe,Brand Awareness,Startup Founders,Clicks,2024-11-06,2024-12-06,12144.42,Completed
CMP-0025,Seasonal Promo - TikTok Ads - LATAM - Q3/2024,TikTok Ads,LATAM,Seasonal Promo,Startup Founders,Sign-ups,2024-07-06,2024-08-16,19004.0,Completed
CMP-0026,Retargeting - Organic Social - LATAM - Q2/2024,Organic Social,LATAM,Retargeting,Developers,Conversions,2024-06-13,2024-08-22,3468.42,Completed
CMP-0027,Retargeting - Meta Ads - LATAM - Q3/2023,Meta Ads,LATAM,Retargeting,Enterprise Decision Makers,Demo Requests,2023-08-24,2023-11-16,14916.78,Completed
CMP-0028,Webinar/Event - Google Ads - LATAM - Q1/2023,Google Ads,LATAM,Webinar/Event,Enterprise Decision Makers,Clicks,2023-02-02,2023-02-24,21561.07,Completed
CMP-0029,Retargeting - Google Ads - North America - Q3/2024,Google Ads,North America,Retargeting,General B2B,Sign-ups,2024-07-06,2024-08-16,3741.64,Completed
CMP-0030,Lead Generation - TikTok Ads - North America - Q2/2023,TikTok Ads,North America,Lead Generation,Developers,Sign-ups,2023-04-07,2023-05-15,2874.8,Completed
CMP-0031,Product Launch - Email Marketing - North America - Q4/2024,Email Marketing,North America,Product Launch,Developers,Impressions,2024-10-31,2025-02-08,24612.05,Completed
CMP-0032,Webinar/Event - Google Ads - LATAM - Q3/2023,Google Ads,LATAM,Webinar/Event,Marketing Managers,Impressions,2023-07-16,2023-08-30,5160.12,Completed
CMP-0033,Lead Generation - Email Marketing - LATAM - Q1/2023,Email Marketing,LATAM,Lead Generation,Marketing Managers,Sign-ups,2023-03-19,2023-05-03,11356.7,Completed
CMP-0034,Brand Awareness - Content/SEO - Europe - Q2/2023,Content/SEO,Europe,Brand Awareness,Enterprise Decision Makers,Demo Requests,2023-04-06,2023-04-21,6958.8,Completed
CMP-0035,Product Launch - Content/SEO - LATAM - Q1/2024,Content/SEO,LATAM,Product Launch,Developers,Sign-ups,2024-02-15,2024-03-27,6782.96,Completed
CMP-0036,Product Launch - Meta Ads - North America - Q1/2024,Meta Ads,North America,Product Launch,Marketing Managers,Sign-ups,2024-03-09,2024-04-28,17566.49,Completed
CMP-0037,Seasonal Promo - Organic Social - APAC - Q3/2023,Organic Social,APAC,Seasonal Promo,General B2B,Sign-ups,2023-07-14,2023-08-16,2330.8,Completed
CMP-0038,Seasonal Promo - Google Ads - North America - Q1/2023,Google Ads,North America,Seasonal Promo,Enterprise Decision Makers,Conversions,2023-02-21,2023-03-14,14812.35,Completed
CMP-0039,Seasonal Promo - TikTok Ads - APAC - Q1/2023,TikTok Ads,APAC,Seasonal Promo,SMB Owners,Impressions,2023-03-24,2023-06-11,21357.89,Completed
CMP-0040,Webinar/Event - Google Ads - North America - Q3/2024,Google Ads,North America,Webinar/Event,SMB Owners,Sign-ups,2024-08-06,2024-09-04,6532.28,Completed
CMP-0041,Brand Awareness - TikTok Ads - LATAM - Q2/2024,TikTok Ads,LATAM,Brand Awareness,Developers,Demo Requests,2024-06-19,2024-09-13,8251.06,Completed
CMP-0042,Webinar/Event - LinkedIn Ads - LATAM - Q1/2024,LinkedIn Ads,LATAM,Webinar/Event,Marketing Managers,Clicks,2024-02-10,2024-03-28,6671.73,Completed
CMP-0043,Retargeting - Organic Social - LATAM - Q3/2024,Organic Social,LATAM,Retargeting,Enterprise Decision Makers,Impressions,2024-09-28,2024-12-09,7488.64,Completed
CMP-0044,Lead Generation - Google Ads - LATAM - Q4/2023,Google Ads,LATAM,Lead Generation,Startup Founders,Conversions,2023-12-24,2024-01-23,22081.17,Completed
CMP-0045,Lead Generation - Meta Ads - North America - Q4/2023,Meta Ads,North America,Lead Generation,Developers,Demo Requests,2023-11-06,2024-02-18,15486.11,Completed
CMP-0046,Brand Awareness - Content/SEO - Europe - Q4/2024,Content/SEO,Europe,Brand Awareness,General B2B,Demo Requests,2024-11-10,2025-01-01,911.36,Completed
CMP-0047,Brand Awareness - Meta Ads - LATAM - Q4/2023,Meta Ads,LATAM,Brand Awareness,General B2B,Demo Requests,2023-10-06,2023-11-08,7403.03,Completed
CMP-0048,Lead Generation - Meta Ads - Europe - Q2/2024,Meta Ads,Europe,Lead Generation,General B2B,Conversions,2024-05-15,2024-08-01,6652.47,Completed
CMP-0049,Webinar/Event - Content/SEO - LATAM - Q1/2023,Content/SEO,LATAM,Webinar/Event,Developers,Conversions,2023-01-04,2023-01-23,2601.64,Completed
CMP-0050,Retargeting - Meta Ads - North America - Q4/2024,Meta Ads,North America,Retargeting,SMB Owners,Sign-ups,2024-12-23,2025-03-17,10978.33,Active
CMP-0051,Webinar/Event - Google Ads - LATAM - Q1/2024,Google Ads,LATAM,Webinar/Event,SMB Owners,Demo Requests,2024-01-14,2024-02-01,14771.48,Completed
CMP-0052,Brand Awareness - Meta Ads - North America - Q1/2023,Meta Ads,North America,Brand Awareness,Marketing Managers,Conversions,2023-02-10,2023-06-05,22523.65,Completed
CMP-0053,Webinar/Event - Meta Ads - Europe - Q3/2024,Meta Ads,Europe,Webinar/Event,Enterprise Decision Makers,Conversions,2024-07-27,2024-11-17,22161.3,Completed
CMP-0054,Webinar/Event - Email Marketing - APAC - Q3/2023,Email Marketing,APAC,Webinar/Event,SMB Owners,Clicks,2023-07-01,2023-08-04,22094.7,Completed
CMP-0055,Retargeting - Google Ads - LATAM - Q2/2023,Google Ads,LATAM,Retargeting,Developers,Clicks,2023-06-13,2023-07-31,19790.68,Completed
CMP-0056,Brand Awareness - Google Ads - North America - Q2/2024,Google Ads,North America,Brand Awareness,Developers,Clicks,2024-04-16,2024-05-25,9066.63,Completed
CMP-0057,Lead Generation - Content/SEO - Europe - Q3/2023,Content/SEO,Europe,Lead Generation,SMB Owners,Impressions,2023-07-17,2023-10-23,3078.72,Completed
CMP-0058,Retargeting - LinkedIn Ads - Europe - Q4/2024,LinkedIn Ads,Europe,Retargeting,Marketing Managers,Demo Requests,2024-11-26,2025-01-30,44168.7,Completed
CMP-0059,Brand Awareness - TikTok Ads - North America - Q3/2024,TikTok Ads,North America,Brand Awareness,Enterprise Decision Makers,Conversions,2024-08-17,2024-09-22,24082.09,Completed
CMP-0060,Seasonal Promo - LinkedIn Ads - LATAM - Q4/2023,LinkedIn Ads,LATAM,Seasonal Promo,Developers,Conversions,2023-11-18,2024-03-04,20144.97,Completed
CMP-0061,Seasonal Promo - TikTok Ads - LATAM - Q4/2024,TikTok Ads,LATAM,Seasonal Promo,SMB Owners,Conversions,2024-12-26,2025-01-14,11183.41,Completed
CMP-0062,Seasonal Promo - TikTok Ads - APAC - Q1/2024,TikTok Ads,APAC,Seasonal Promo,General B2B,Clicks,2024-03-17,2024-05-16,2214.36,Completed
CMP-0063,Seasonal Promo - Organic Social - APAC - Q4/2023,Organic Social,APAC,Seasonal Promo,Marketing Managers,Impressions,2023-11-04,2024-02-18,3877.35,Completed
CMP-0064,Product Launch - Organic Social - North America - Q2/2023,Organic Social,North America,Product Launch,General B2B,Conversions,2023-05-11,2023-08-03,1560.02,Completed
CMP-0065,Webinar/Event - Organic Social - APAC - Q3/2024,Organic Social,APAC,Webinar/Event,General B2B,Clicks,2024-08-05,2024-11-05,2361.98,Completed
CMP-0066,Retargeting - TikTok Ads - Europe - Q3/2024,TikTok Ads,Europe,Retargeting,Marketing Managers,Clicks,2024-08-16,2024-10-24,15363.21,Completed
CMP-0067,Product Launch - LinkedIn Ads - North America - Q2/2024,LinkedIn Ads,North America,Product Launch,General B2B,Clicks,2024-04-29,2024-07-17,35903.73,Completed
CMP-0068,Webinar/Event - Content/SEO - Europe - Q4/2024,Content/SEO,Europe,Webinar/Event,Enterprise Decision Makers,Conversions,2024-11-10,2025-01-28,4802.12,Completed
CMP-0069,Lead Generation - LinkedIn Ads - LATAM - Q3/2023,LinkedIn Ads,LATAM,Lead Generation,General B2B,Conversions,2023-07-23,2023-09-03,7398.31,Completed
CMP-0070,Product Launch - Google Ads - LATAM - Q1/2024,Google Ads,LATAM,Product Launch,Startup Founders,Impressions,2024-02-29,2024-05-11,22210.35,Completed
CMP-0071,Webinar/Event - TikTok Ads - LATAM - Q3/2023,TikTok Ads,LATAM,Webinar/Event,Developers,Sign-ups,2023-09-07,2023-11-11,4115.5,Completed
CMP-0072,Brand Awareness - Organic Social - LATAM - Q4/2024,Organic Social,LATAM,Brand Awareness,Developers,Clicks,2024-12-13,2025-01-18,3956.99,Completed
CMP-0073,Brand Awareness - Google Ads - North America - Q2/2024,Google Ads,North America,Brand Awareness,Developers,Clicks,2024-04-20,2024-08-14,16855.65,Completed
CMP-0074,Product Launch - TikTok Ads - North America - Q3/2024,TikTok Ads,North America,Product Launch,Startup Founders,Demo Requests,2024-07-15,2024-09-21,11424.88,Completed
CMP-0075,Product Launch - Meta Ads - Europe - Q3/2023,Meta Ads,Europe,Product Launch,Developers,Conversions,2023-09-11,2023-12-30,21076.64,Completed
CMP-0076,Seasonal Promo - LinkedIn Ads - Europe - Q1/2024,LinkedIn Ads,Europe,Seasonal Promo,Developers,Clicks,2024-03-26,2024-05-14,4317.02,Completed
CMP-0077,Retargeting - LinkedIn Ads - LATAM - Q2/2023,LinkedIn Ads,LATAM,Retargeting,Marketing Managers,Demo Requests,2023-05-22,2023-06-15,7551.63,Completed
CMP-0078,Webinar/Event - Email Marketing - Europe - Q1/2024,Email Marketing,Europe,Webinar/Event,SMB Owners,Impressions,2024-02-22,2024-04-29,8606.59,Completed
CMP-0079,Lead Generation - Email Marketing - North America - Q3/2024,Email Marketing,North America,Lead Generation,Developers,Sign-ups,2024-08-21,2024-12-11,23678.52,Completed
CMP-0080,Seasonal Promo - Google Ads - Europe - Q4/2023,Google Ads,Europe,Seasonal Promo,Developers,Sign-ups,2023-12-27,2024-01-10,7816.01,Completed
CMP-0081,Product Launch - Email Marketing - Europe - Q3/2024,Email Marketing,Europe,Product Launch,Startup Founders,Demo Requests,2024-09-09,2025-01-03,22496.38,Completed
CMP-0082,Product Launch - Email Marketing - LATAM - Q4/2023,Email Marketing,LATAM,Product Launch,Developers,Impressions,2023-12-11,2024-02-12,16887.4,Completed
CMP-0083,Lead Generation - Content/SEO - North America - Q2/2024,Content/SEO,North America,Lead Generation,Developers,Clicks,2024-06-30,2024-10-01,348.2,Completed
CMP-0084,Webinar/Event - Email Marketing - North America - Q1/2024,Email Marketing,North America,Webinar/Event,Enterprise Decision Makers,Impressions,2024-03-14,2024-06-18,3824.64,Completed
CMP-0085,Retargeting - Email Marketing - LATAM - Q2/2024,Email Marketing,LATAM,Retargeting,Developers,Conversions,2024-04-10,2024-05-21,8507.72,Completed
